0,1,2,3,4,5,6,7,8
Sismos reportados en el 2026 / Total de sismos = 128,Sismos reportados en el 2026 / Total de sismos = 128,Sismos reportados en el 2026 / Total de sismos = 128,Sismos reportados en el 2026 / Total de sismos = 128,Sismos reportados en el 2026 / Total de sismos = 128,Sismos reportados en el 2026 / Total de sismos = 128,Sismos reportados en el 2026 / Total de sismos = 128,Sismos reportados en el 2026 / Total de sismos = 128,Sismos reportados en el 2026 / Total de sismos = 128
Fecha,Hora Local,Magnitud,Profundidad (km),Localización,Origen,Reportado,Latitud,Longitud
2026-07-03,21:25:29,3.1,25,Playa Tamarindo,Subducción,"Playa Grande, Tamarindo, Santa Cruz, Villareal, Huacas, Brasilito, Matapalo",10.3314,-85.8617
2026-07-03,21:26:36,2.2,25,Playa Tamarindo,Subducción,"Playa Grande, Tamarindo, Santa Cruz, Villareal, Huacas, Brasilito, Matapalo",10.3343,-85.8784
2026-07-03,21:28:50,2.5,27,Playa Tamarindo,Subduccion,"Playa Grande, Tamarindo, Santa Cruz, Villareal, Huacas, Brasilito, Matapalo",10.335,-85.8701
2026-07-03,21:29:47,2.6,25,Playa Tamarindo,Subducción,"Playa Grande, Tamarindo, Santa Cruz, Villareal, Huacas, Brasilito, Matapalo",10.3415,-85.8615
2026-07-03,22:58:47,3.7,26,11 km al sureste de San Vito,Subducción Placa del Coco por debajo de micro placa de Panama,"San Vito, Sabalito, Mellizas, Golfito",8.7697,-82.8747
2026-07-02,11:14:24,2.6,12,"3 km al Norte de Fortuna de Bagaces, Guanacaste",Fallamiento local,Fortuna y Guayabo de Bagaces,10.7036,-85.1882
2026-07-02,22:18:06,4.2,54,7 km al sureste de Santiago de Puriscal,Deformación interna de la Placa del Coco,"Santa Ana, Acosta, Escazú, Pavas, Ciudad Colón, Puriscal",9.7972,-84.2737
2026-07-01,07:41:16,4.5,26,"12 km al noreste de Rincón de Osa, Puntarenas",Tectónico por deformación interna de la placa del Coco,"Puerto Jimenez, Golfito, Rio Claro, San Vito, Sabalito, Puerto Cortés, Buenos Aires, Palmar Norte y Sur, Pérez Zeledón y leve en el Valle Central",8.741,-83.377
2026-06-29,03:07:35,2.1,9.5,4 km al sur de El Tablón de Cartago.,Tectónico en falla local,"El Tejar, San Blás y Agua Caliente de Cartago; en Higuito de Desamparados.",9.7952,-84.0031
2026-06-28,12:47:02,1.9,2.6,"San José Centro, 500mts al sur de la Catedral",Tectónico en falla local,"San José, Hatillo y Pavas",9.9287,-84.0793
2026-06-26,05:57:27,5.2,112,"5 km al suroeste de Masachapa, Nicaragua",Tectónico por subducción de la porción subducida de la placa del Coco.,Sector norte de la provincia de Guanacaste.,11.7676,-86.5573
2026-06-25,19:45:29,3,17,1.5 km al sur de Pital de San Carlos,Tectónico en falla local,"Aguas Zarcas, Pital, Venecia, Sarapiquí, San José de la Montaña de Ciudad Quesada, Río Frío de Sarapiquí.",10.4397,-84.2783
2026-06-24,12:38:08,4,5,50 km al oeste de Flamingo,Tectónico por subducción,"Cabo Velas, Portegolpe, Playas del Coco, Huacas, 27 de Abril",10.4747,-86.2701
2026-06-24,20:21:40,3.4,71,8 km al noreste de San Marcos de Tarrazú,Deformación interna de la porción subducida de la placa del Coco.,"Moravia, Granadilla, San Francisco de Dos Ríos, Coronado, San José y Guadalupe",9.7307,-83.9882
2026-06-21,21:19:21,3.5,89,"7,2 km al N de Ángeles de San Rafael, Heredia",Deformación interna de la placa del Coco,Leve en algunos sectores del Valle Central,10.1022,-84.0806
2026-06-18,20:05:21,2.3,4,3 km al noreste de Las Nubes de Coronado.,Tectónico en falla local,"Las Nubes, Cascajal, Coronado, San Blas.",9.9943,-83.9364
2026-06-10,11:37:19,3.4,47,11 km al suroeste de San Marcos de Tarrazú.,Tectónico por deformación interna de la porción subducida de la placa del Coco.,Los Santos y Santa Ana,9.5901,-84.0959
2026-06-09,19:13:48,2.9,6,6 km al norte de Zarcero,Tectónico en falla local.,"Zarcero, Naranjo, San Ramón, Sucre y Ciudad Quesada",10.2393,-84.4062
2026-06-09,21:01:34,5.1,47,"10 km al oeste de Playa Brasilito, Guanacaste",Tectónico por subducción.,"Santa Cruz, La Cruz, Liberia, Carrillo, Nicoya, Cóbano, Upala, San Ramón, Tilarán, Naranjo y algunos sitios del Valle Central",10.4007,-85.8851
2026-06-03,19:55:13,5.3,24,16 km al suroeste de la Estación Sirena del Parque Nacional Corcovado,Tectónico por deformación interna de la placa del Coco,"Drake, Puerto Jiménez, San Isidro de PZ, Turrialba, Corcovado, Quepos, San Vito, Coto Brus, Ciudad Cortés y leve en algunos lugares del Valle Central.",8.4352,-83.7298
2026-05-29,09:39:12,4.6,1,"96 km al OSO de La Cruz, Guanacaste","Tectónico, por deformación somera en la placa del Coco","Cartagena, Playas del Coco y La Cruz de Guanacaste",10.8944,-86.4887
2026-05-27,07:50:06,3.9,40,6 km al noroeste de Quepos,Tectónico por deformación interna de la placa del Coco.,Parte sur del Valle Central,9.4608,-84.2122
2026-05-22,03:19:58,4.8,17,Corcovado,Subduccion,"Drake, Puerto Jimenez, Palmar Norte, Buenos Aires, Perez Zeledon",8.5838,-83.5223
2026-05-22,13:34:01,3.7,19,20 km al noroeste de Puerto Jiménez.,Tectónico por deformación interna de la placa del Coco.,Puerto Jiménez y La Palma,8.6996,-83.4172
2026-05-22,19:25:50,3.9,19,30 km al oeste de Puerto Jiménez,Tectónico por deformación interna de la placa del Coco.,"Riyito, Cañaza y Puerto Jiménez",8.5595,-83.588
2026-05-19,03:18:51,2.5,5,5 km al NO de Santa Teresita de Turrialba,Fallamiento local,"El Tejar, Paraíso, Cartago",10.0095,-83.6779
2026-05-18,20:23:32,4.5,12,5 km hacia el Este del Carmen de Buenos Aires de Puntarenas,Fallamiento local,"Ciudad Neily, Golfito, Buenos Aires, Coto Brus",8.9854,-82.9598
2026-05-17,04:01:06,3.1,16,8 km al sureste de jaco,Tectonico por subduccion,"Jaco, Herradura, Playa Hermosa",9.5686,-84.5724
2026-05-16,03:37:46,2.8,17,8 km al sureste de Jacó,Tectónico por subducción,Jacó y Quebrada Seca.,9.5577,-84.5895
2026-05-16,04:37:15,3.5,16,9 km al sureste de Jacó,Tectónico por subducción,"Playa Hermosa, Esterillos, Jacó y Herradura.",9.556,-84.5716
2026-05-16,04:47:56,3.9,17,9 km al sureste de Jacó,Tectónico por subducción,"Playa Hermosa, Jacó y Herradura.",9.556,-84.5716
2026-05-16,06:49:52,2.9,13,9 km al sureste de Jacó,Tectónico por subducción.,"Esterillos, Playa Hermosa, Jacó",9.5735,-84.5638
2026-05-16,12:25:22,3.4,15,10 km al sureste de Jacó,Tectónico por subducción.,"Esterillos, Playa Hermosa, Jacó, Herradura",9.5635,-84.5559
2026-05-15,18:59:00,3.1,18,9 km al sureste de Jacó,Tectónico por subducción,"Jacó, Herradura, Playa Hermosa.",9.5567,-84.5733
2026-05-14,12:03:21,3.1,17,8 km al sureste de Jacó.,Tectónico por subducción.,Playa Hermosa y Jacó.,9.5612,-84.5814
2026-05-14,01:13:26,3.4,17,9 km al sureste de Jacó,Tectónico por subducción.,"Playa Hermosa, Jacó y Esterillos",9.5516,-84.5771
2026-05-14,05:27:35,3.4,17,9 km al sureste de Jacó,Tectónico por subducción.,"Playa Hermosa, Jacó y Quebrada Gabnado.",9.5575,-84.5732
2026-05-14,17:22:55,3.9,15,10 km al sureste de Jacó,Tectónico por subducción.,"Playa Hermosa, Jacó, Herradura, Hatillo.",9.538,-84.5724
2026-05-14,20:54:53,4.6,16,9 km al sureste de Jacó,Tectónico por subducción,Pacífico Central y Valle Central,9.5605,-84.5725
2026-05-14,20:11:00,2.7,17,8 km al sureste de jaco,Tectonico por subduccion,Playa Hermosa y Jaco,9.5621,-84.57
2026-05-13,10:22:29,5.09,15.9,14.5 km hacia el sureste de Jaco,Deformacion interna de la placa del Caribe,"Heredia, Alajuela, San Jose, Barranca, Esterillos, Orotina, Paquera, Esparza, Palmares, Jaco.",9.5549,-84.5801
2026-05-13,21:36:56,4.5,15.8,"1.5 km hacia el Sur de Playa Hermosa, Garabito de Puntarenas.",Deformación Interna de la Placa del Caribe,"Garabito, Alajuela, Parrita, Zetillal Heredia,",9.5491,-84.5922
2026-05-13,22:44:52,3.5,17,7 km al sureste de Jacó,Tectónico por subducción.,"Playa Hermosa, Jacó y Herradura, Puriscal.",9.56,-84.5989
2026-05-07,22:45:12,3.9,45,"4 km al noroeste de Punta Uvita, Puntarenas",Deformacion interna de la Placa del Coco,"Uvita, Perez Zeledon, Heredia, Escazu, Cartago",9.1728,-83.7919
2026-05-06,01:23:23,3.3,47,8 km al noreste de Quepos,"Tectónico, por deformación interna de la placa del Coco.",Valle Central,9.4688,-84.1036
2026-05-06,16:02:05,4.1,17,"27 km al NO de San Juanillo, Santa Cruz, Guanacaste",Proceso de subducción,"Carrillo, Santa Cruz, Nosara, Tamarindo",10.1207,-85.9706
2026-05-05,14:54:46,4.6,40,11 km al Oeste de Quepos,Deformacion interna de la placa del Coco,"Santa Ana, Pavas, Naranjo, Heredia, San Isidro de Heredia, San Ramon de Alajuela, Quepos, Montes de Oca, Sabanilla, Barva de Heredia, Zapote, Coronado, Uruca, Curridabat, Alajuela, valle Central",9.4516,-84.2621
2026-04-30,23:17:19,3.2,61,"1 km al NE de San Pablo, León Cortés",Deformación interna de la placa del Coco,Valle Central,9.6892,-84.0355
2026-04-27,21:49:11,5.1,63,6 km al suroeste de Acosta,Deformacion interna de la Placa del Coco,"Todo el Valle Central, Jaco, Puntarenas, Guapiles",9.7729,-84.1594
2026-04-16,17:17:28,4.7,23,"23 al SW de La Peña. Punta Burica, Puntarenas",Zona de Fractura de Panamá,"Corredores, Pavón y Punta Burica",8.0796,-83.1042
2026-04-15,00:56:59,5.7,20,"78 km al oeste de Ostional, Guanacaste.",Tectónico por subducción. Dentro de la placa del Coco.,"Guanacaste, Zona Norte, Valle Central y Pacífico Central.",9.7909,-86.3893
2026-04-15,09:55:00,4.1,49,8 km al suroeste de Sata María de Dota,Tectónico por deformación interna de la placa del Coco.,"Pérez Zeledón, todo el valle Central, Dota, Acosta, Quepos y Jacó",9.5843,-83.9982
2026-04-06,07:44:46,3.5,13,10 km al noreste de Sabalito,Fallamiento local,"Gutiérrez Braun, La Unión de Sabalito y Coto Brus",8.9021,-82.8707
2026-04-03,05:00:44,2,1,9 km al norte de San Isidro de Pérez Zeledón.,Tectónico en falla local.,"Quebradas, Miravalles y Rivas de Pérez Zeledón.",9.4544,-83.6886
2026-04-02,09:24:15,3.4,22,18 km al este de Montezuma.,Tectónico por subducción.,Tambor.,9.6526,-84.8998
2026-04-02,11:11:24,4.8,20,10 km al suroeste de Punta Burica.,Tectónico en la Zona de Fracturas de Panamá,"Río Claro y Barú de Chiriquí, Panamá.",7.9912,-82.9833
